deckid,deckname,user,patch_type,archetype,createddate,lastupdatedate,scrapeddate,deltadays_createdlastupdate,deltadays_createdscraped,deltadays_lastupdatedscraped,hero,deck_type,craft_cost,cards,nbr_cards,count_positiverating,count_negativerating,count_totalrating,url,count_cards_mana0,count_cards_mana1,count_cards_mana2,count_cards_mana3,count_cards_mana4,count_cards_mana5,count_cards_mana6,count_cards_mana7+,format,count_minions,count_spells,count_weapons,is_gooddeck
1176028.0,Bomb Hunter,user-5987051,Boomsday,Unknown,2018-08-27 00:00:00.000000,2018-08-27 00:00:00.000000,2019-11-22 21:01:27.474964,0.0,452,452,hunter,Ranked Deck,4780.0,"[163, 163, 305, 488, 488, 502, 58724, 76973, 76991, 76991, 89799, 89799, 89801, 89801, 89807, 89838, 89838, 89848, 89854, 89854, 89910, 89910, 89913, 89913, 89919, 89919, 89921, 89921, 89933, 89933]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/1176028,0.0,4.0,11.0,5.0,2.0,6.0,1,1.0,Standard,23.0,6.0,0.0,1
1203168.0,Totem Shaman,henkyboy001,Boomsday,Totem Shaman,2018-11-29 00:00:00.000000,2018-11-29 00:00:00.000000,2019-11-23 14:42:57.859022,0.0,359,359,shaman,Ranked Deck,2800.0,"[107, 256, 367, 367, 390, 390, 613, 613, 676, 22265, 22265, 22269, 22270, 22271, 33159, 33159, 35234, 35234, 42045, 42047, 42047, 55596, 55596, 76921, 76922, 76922, 76923, 76923, 77008, 89414]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/1203168,2.0,2.0,9.0,8.0,4.0,3.0,2,0.0,Wild,19.0,11.0,0.0,1
1241967.0,Deathrratle priest,AlexMateosSR,Level Up Nerf,Quest Priest,2019-03-21 00:00:00.000000,2019-03-21 00:00:00.000000,2019-11-23 19:00:34.004984,0.0,247,247,priest,Ranked Deck,15660.0,"[395, 52588, 55446, 55446, 55461, 55522, 62870, 62870, 62889, 62899, 76911, 76959, 76959, 76990, 89347, 89368, 89368, 89466, 89819, 89819, 89840, 89852, 89871, 90168, 90168, 90169, 90190, 90209, 90235, 90240]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/1241967,0.0,4.0,4.0,3.0,4.0,1.0,4,10.0,Standard,23.0,6.0,0.0,1
1155604.0,Just Flark 'em,Mesaj2000,Spiteful Nerf,Midrange Hunter,2018-08-04 00:00:00.000000,2018-08-04 00:00:00.000000,2019-11-22 18:45:18.956184,0.0,475,475,hunter,Ranked Deck,5140.0,"[8, 8, 22, 22, 99, 99, 344, 58724, 62867, 62867, 62891, 62891, 62899, 62942, 73332, 73332, 76950, 76950, 76994, 76994, 89347, 89807, 89807, 89852, 89875, 89875, 89913, 89913, 89914, 89918]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/1155604,0.0,7.0,7.0,2.0,3.0,5.0,5,1.0,Standard,12.0,15.0,2.0,1
1294543.0,(SoU) Murloc Paladin,tararaco,Saviors of Uldum,Murloc Paladin,2019-08-03 00:00:00.000000,2019-08-03 00:00:00.000000,2019-11-24 01:50:57.081190,0.0,113,113,paladin,Ranked Deck,6600.0,"[222, 222, 293, 357, 357, 420, 420, 424, 424, 674, 89353, 89353, 89847, 89847, 90590, 90590, 90606, 90616, 90616, 90643, 90643, 90644, 90644, 90652, 90652, 90726, 90726, 90739, 90740, 90740]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/1294543,0.0,12.0,8.0,7.0,1.0,1.0,0,1.0,Standard,20.0,7.0,3.0,1
217014.0,Heroic Four Horsemen Basic Warlock,DarkJak,Quest Rogue Nerf,Unknown,2015-03-31 00:00:00.000000,2017-07-10 00:00:00.000000,2019-11-17 02:32:06.196095,832.0,1692,860,warlock,PvE Adventure,0.0,"[47, 47, 74, 74, 122, 122, 174, 174, 252, 252, 326, 326, 340, 340, 357, 357, 472, 472, 529, 529, 647, 647, 683, 683, 7736, 7736, 7753, 7753, 7757, 7757]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/217014,0.0,8.0,6.0,10.0,6.0,0.0,0,0.0,Wild,22.0,8.0,0.0,1
47198.0,Managrind Friday Night Swiss EU 19 - Dapperatchik,user-12288937,Live Patch 5170,Unknown,2014-04-25 00:00:00.000000,2014-04-25 00:00:00.000000,2019-11-16 06:18:34.229197,0.0,2031,2031,hunter,None,2340.0,"[8, 8, 22, 22, 76, 76, 86, 86, 101, 101, 163, 163, 225, 225, 239, 279, 279, 317, 317, 389, 389, 488, 488, 500, 535, 535, 578, 578, 630, 674]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/47198,2.0,7.0,7.0,7.0,3.0,2.0,2,0.0,Standard,18.0,12.0,0.0,1
666947.0,Midrange,xSlag,Yogg Nerf,Midrange Hunter,2016-11-11 00:00:00.000000,2016-11-11 00:00:00.000000,2019-11-20 07:28:59.001727,0.0,1104,1104,hunter,Ranked Deck,4580.0,"[8, 8, 162, 163, 225, 225, 239, 305, 317, 317, 363, 473, 488, 488, 503, 578, 578, 14459, 14459, 22301, 27219, 27219, 33167, 35214, 35214, 35215, 35215, 42020, 42020, 42021]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/666947,0.0,4.0,7.0,9.0,5.0,1.0,2,2.0,Wild,18.0,11.0,1.0,1
537191.0,sjow's warrior,SjoW,Old Gods,Unknown,2016-05-09 00:00:00.000000,2016-05-09 00:00:00.000000,2019-11-19 15:16:52.041460,0.0,1289,1289,warrior,None,7400.0,"[69, 69, 130, 130, 161, 215, 215, 227, 227, 428, 498, 503, 504, 632, 632, 643, 644, 644, 664, 664, 27254, 27255, 27255, 33161, 33161, 35205, 35205, 35207, 35209, 35209]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/537191,0.0,5.0,8.0,7.0,5.0,0.0,1,4.0,Wild,19.0,9.0,2.0,1
871479.0,Thicc v.1,hoZer,Quest Rogue Nerf,Evolve Shaman,2017-08-01 00:00:00.000000,2017-07-31 00:00:00.000000,2019-11-21 09:06:31.232411,-1.0,842,843,shaman,Ranked Deck,3060.0,"[10, 10, 256, 256, 270, 270, 390, 390, 604, 636, 636, 676, 676, 35227, 35232, 35232, 42045, 42045, 49677, 49677, 49707, 55466, 55466, 55468, 55478, 55478, 55511, 55559, 55559, 55564]",30.0,0.0,0,0.0,https://www.hearthpwn.com/decks/871479,0.0,6.0,5.0,7.0,3.0,6.0,2,1.0,Wild,16.0,14.0,0.0,1
